avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1.35,5,0.0715,27,1,7,12,Docker,mongodb-mms-agent-base
1.35,9,131.033,0,1,6.5,47,Travis,node
1.35,12,686.942,0,2,3,117,Travis,nginx
1.35098235,3,224.962,0,2,22,321,Travis,websphere-liberty
1.35320385,3,72.4841,0,0,5,205,Circle,alpine
1.366664,0,0.1,0,2,9,3,Travis,devel
1.3667,22,170.01,0,3.15,21.8,277,Circle,ubuntu
1.37223333,16,938.294,224,3.2,11.4,340,Docker,base
1.37381429,7,200.961,0,3,15,762,Circle,alpine-glibc
1.375,14,690.974,0,1,2,302,Travis,viws
1.37855714,0,76.2529,0,1,4.2857,48,Circle,alpine
1.38240556,7,72.4841,0,0,5,205,Circle,alpine
1.3833,11,13.8373,0,1,12.3333,75,Circle,node
1.38444,0,123.587,0,1,3,77,Circle,nginx
1.3889,17,191.968,0,4,11,209,Travis,debian
1.39002,9,489.985,0,1,11,284,Travis,node
1.39165,1,13.0814,0,0,12,49,Circle,alpine-ruby
1.39666,9,341.808,0,0.25,3,50,Circle,scratch
1.39721667,10,341.808,0,0.25,3,50,Circle,scratch
1.39813333,2,123.587,0,1,3,77,Circle,nginx
1.39907778,0,97.927,0,1,2,111,Circle,baseimage
1.4,10,218.159,0,2,18,211,Travis,haproxy
1.404175,4,0.0632,0,1,17,8,Travis,rpi-alpine
1.4083,6,690.974,0,1,2,302,Travis,viws
1.4083375,0,0.0322,0,1,12.6667,69,Circle,alpine
1.40835,3,0.555,0,1,17,28,Travis,rpi-alpine
1.40835,4,8.7011,0,2,12,28,Travis,alpine
1.41665,5,218.159,0,2,18,211,Travis,haproxy
1.4167,3,0.0356,16,1,8,8,Docker,alpine
1.4167,16,686.942,0,2,3,117,Travis,nginx
1.42333429,0,72.4841,0,1,5,205,Circle,alpine
1.425,4,62.2769,39,4,15,31,Docker,elasticsearch
1.42778333,8,72.4841,0,0,5,205,Circle,alpine
1.42820385,6,139.006,0,10,48.8571,174,Travis,ubuntu
1.429175,10,0.5561,0,1,77.75,140,Travis,apache-php
1.4333,1,79.811,0,1,7.5,54,Circle,scratch
1.4333,3,114.074,20,5,47,8,Docker,alpine
1.4333,4,0.1,13,4,5,18,Docker,dind
1.4333,4,114.074,20,5,47,8,Docker,alpine
1.4333,12,224.962,0,2,22,321,Travis,websphere-liberty
1.4333,17,0,259,2,22,11,Docker,alpine
1.43333333,5,62.2769,39,4,15,31,Docker,elasticsearch
1.43613333,0,341.808,0,0.25,3,50,Circle,scratch
1.44285714,4,6.7559,0,11.8333,42.6667,69,Travis,openjdk
1.44334,0,19.93,0,2.6,13.6,88,Circle,alpine
1.44393636,3,618.774,0,1.7143,14.7143,418,Circle,busybox
1.44443333,7,618.774,0,1.7143,14.7143,418,Circle,busybox
1.44461077,0,0.139,0,2.4615,11.0769,14,Travis,alpine
1.449975,3,0.0632,0,1,17,8,Travis,rpi-alpine
1.45,12,0.1397,0,1,50,22,Travis,alpine
1.45,14,79.811,0,1,7.5,54,Circle,scratch
1.45303636,0,0.0963,0,1,7,21,Circle,golang
1.45666,12,0.0617,213,1,8,3,Docker,cflinuxfs2
1.4611,0,62.2769,39,3.8182,12.3636,31,Docker,elasticsearch
1.46665,0,521.417,0,1,10.5,141,Travis,node
1.4667,4,252.925,119,3.9355,18.0968,76,Docker,alpine
1.4667,12,13.0814,0,0,14,49,Circle,alpine-ruby
1.46998,12,0.0358,210,1,8,2,Docker,cflinuxfs2
1.47085,7,224.962,0,2,22,321,Travis,websphere-liberty
1.47223333,0,0.0006,12,1.6667,5,14,Docker,docker-cluster
1.47403769,0,60.9955,0,0,5,376,Travis,alpine-node
1.475,12,0.5667,112,4,17,11,Docker,alpine
1.4778,4,224.962,0,2,22,321,Travis,websphere-liberty
1.4778,16,0.0058,356,2,15,31,Docker,debian
1.483325,4,0.555,0,1,17,28,Travis,rpi-alpine
1.48846154,12,204.008,0,6,17,448,Travis,nginx
1.49002,2,97.8665,0,0,18,52,Circle,alpine
1.49074444,9,98.1166,0,8.6,12,267,Circle,ruby
1.49165,1,701.089,0,8.1667,9.5,832,Travis,golang
1.49165,3,0.0041,11,4,10,4,Docker,debian
1.5,1,0.022,12,1,13,8,Docker,tomcat
1.5062625,0,191.968,0,4,10,209,Travis,debian
1.50668,5,0.0155,0,1,17,9,Travis,rpi-alpine
1.50758182,4,37.405,0,2,4,47,Circle,busybox
1.51000286,3,701.089,0,8.1667,9.5,832,Travis,golang
1.51665,7,29.8851,0,0,6,102,Circle,busybox
1.5167,10,224.962,0,2,22,321,Travis,websphere-liberty
1.5167,17,642.134,0,0.25,5,239,Circle,java
1.52223333,6,224.962,0,2,22,321,Travis,websphere-liberty
1.52406667,2,701.089,0,8.1667,9.5,832,Travis,golang
1.52426364,4,4.8695,0,0,9,110,Circle,golang
1.52618571,9,690.974,0,1,2,302,Travis,viws
1.52668,6,0.0004,137,3,3,1,Docker,prometheus
1.5333,1,0.0171,12,2,19.4,9,Docker,alpine
1.533325,0,0.1,13,1,5,18,Docker,dind
1.53332593,0,0.0898,0,0,9.3333,41,Travis,openjdk
1.53334,2,123.565,0,0,6.6,52,Circle,node
1.53518889,0,8.7011,0,1.3333,7.4444,28,Travis,alpine
1.5374875,2,0.0023,18,1,2,12,Docker,mcollectived
1.53808571,5,224.962,0,2,22,321,Travis,websphere-liberty
1.54165,3,0.1,13,4,5,18,Docker,dind
1.5417,4,97.8665,0,0,18,52,Circle,alpine
1.5426,8,686.942,0,2,3,117,Travis,nginx
1.55,4,123.587,0,0,4,77,Circle,nginx
1.55,10,0.1397,0,1,53,22,Travis,alpine
1.55357857,3,6.7559,0,4,19.5,69,Travis,openjdk
1.55415,3,526.864,0,0.7273,6.0909,479,Travis,ubuntu
