nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1,10,0.1731,0,1,35,95,Circle,debian
1,0,0.2242,16,0,2,17,Docker,node
14,1,0.2264,0,6.1875,37.5625,49,Travis,ubuntu
4,3,0.2394,0,21,19.75,161,Circle,ubuntu-server
1,12,0.2394,0,21,20,161,Circle,ubuntu-server
2,2,0.3279,21,1.8333,3,17,Docker,busybox
1,2,0.3458,41,3,8,19,Docker,spark-base
1,5,0.3458,41,4,10,19,Docker,spark-base
2,5,0.4726,0,6.8,28.4,42,Travis,chrome-headless-browser
2,7,0.489,21,2,41,29,Docker,java
1,1,0.5516,17,1,54,19,Docker,fedora
1,8,0.5516,17,1,55,19,Docker,fedora
2,3,0.555,0,1,17,28,Travis,rpi-alpine
1,2,0.7375,394,15,37,11,Docker,ubuntu
1,12,0.7375,394,14,37,11,Docker,ubuntu
1,1,0.7877,12,7,37.5,18,Docker,baseimage
1,6,0.7877,12,1,38,18,Docker,baseimage
2,10,0.7883,20,6,24,10,Docker,debian
2,21,0.7883,20,6,23,10,Docker,debian
1,6,0.9345,0,2,20,1123,Circle,centos
2,15,0.9345,0,2,20,1123,Circle,centos
2,17,0.9345,0,2,20.5,1123,Circle,centos
2,18,0.9345,0,2,21,1123,Circle,centos
1,9,1.0056,29,15,57,54,Docker,ubuntu
1,17,1.0056,29,1,74,54,Docker,ubuntu
2,0,1.105,18,1,3.5,24,Docker,nginx
1,1,1.1489,79,2.8,9.4,193,Docker,alpine-python
2,1,1.2714,13,4,11,8,Docker,ubuntu
2,1,1.3991,0,1.5,5.5,87,Circle,jessiej
1,3,1.6272,80,1,5,32,Docker,logstash
1,6,1.6272,80,1,5,32,Docker,logstash
2,11,1.6272,80,1,5,32,Docker,logstash
2,9,1.9021,144,3,8,59,Docker,mercury-depend
1,16,1.9021,144,8,23,59,Docker,mercury-depend
1,21,1.9021,144,8,23,59,Docker,mercury-depend
1,24,1.9021,144,8,23,59,Docker,mercury-depend
1,25,1.9021,144,8,23,59,Docker,mercury-depend
1,0,1.9786,0,1,2,93,Travis,nginx
1,2,2.1497,0,4,15,47,Circle,core-box
2,6,2.4295,65,9,16,55,Docker,baseimage
4,7,2.4295,65,9,17,55,Docker,baseimage
4,9,2.4295,65,10,18,55,Docker,baseimage
2,10,2.4295,65,10,18,55,Docker,baseimage
2,11,2.4295,65,10,18,55,Docker,baseimage
2,13,2.4295,65,10,18,55,Docker,baseimage
4,19,2.4295,65,10,18,55,Docker,baseimage
1,3,2.7616,106,5,11,165,Docker,nginx
3,6,3.3336,0,3,11.6667,103,Circle,maven
4,21,3.4829,0,3.5,44,222,Circle,base-jdk
2,2,3.7488,13,2,13,36,Docker,sonarqube
2,3,3.7488,13,2,13,36,Docker,sonarqube
3,7,3.9063,15,6,30,15,Docker,openjdk
