nErrorBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
7,2,120.021,0,2,8.3333,1847,Circle,ruby
1,2,139.006,0,10,46,174,Travis,ubuntu
20,2,139.956,0,0,8,363,Circle,busybox
24,2,151.886,0,20.4615,41.6923,916,Travis,ubuntu
2,2,155.068,0,9.875,13.875,420,Circle,ubuntu
2,2,182.067,0,0,8,893,Circle,node
3,2,183.34,0,1.3333,11,846,Travis,node
1,2,187.126,0,2.125,6.875,601,Circle,python
2,2,191.968,0,4,11,209,Travis,debian
29,2,198.945,0,3,9.5,621,Travis,ruby
6,2,200.961,0,4,16,762,Circle,alpine-glibc
3,2,208.122,0,5,17,99,Circle,core-box
1,2,217.199,0,3,13.8,400,Travis,websphere-liberty
2,2,219.294,0,3,20,162,Circle,core-box
6,2,220.16,0,4.3333,17,91,Circle,core-box
1,2,220.475,0,2,3,609,Circle,meteor-base
30,2,222.737,0,3,22,4831,Circle,alpine-java
57,2,224.738,0,1.5,6,2974,Circle,golang
3,2,226.178,0,6,15.6667,342,Travis,websphere-liberty
3,2,235.081,0,8,9,208,Circle,alpine
1,2,237.925,0,2,5,144,Travis,alpine-node
8,2,242.423,0,4.0476,24.0952,581,Travis,alpine
3,2,245.74,0,0,4.5,321,Travis,scratch
7,2,251.358,0,1.3333,4.3333,206,Travis,maven
14,2,253.975,0,0,7,108,Circle,java
2,2,267.745,0,4.6667,14.3333,181,Circle,core-box
12,2,286.854,0,2,5,355,Travis,busybox
2,2,301.246,0,2,8.6667,1809,Travis,node
1,2,331.064,0,5.0167,61.1667,58,Travis,debian-debootstrap
13,2,342.655,0,1,2,275,Circle,meteor-base
7,2,345.935,0,1,10.6667,421,Circle,alpine
8,2,356.443,0,4,14,78,Circle,python
28,2,364.981,0,1,52,723,Travis,ubuntu
2,2,377.098,0,3.4444,9.4444,178,Circle,alpine-node
1,2,380.846,0,1,9,118,Travis,java
47,2,387.764,0,0,3,152,Travis,node
2,2,394.062,0,3,5,68,Circle,None
3,2,430.951,0,1,4.6667,203,Circle,scratch
2,2,433.042,0,6.5,14,823,Travis,golang
4,2,442.618,0,10.8462,53.2308,105,Travis,arm-pyinstaller
2,2,450.449,0,3,6,169,Travis,alpine-java
2,2,458.166,0,1,2,1837,Circle,meteor-base
1,2,468.727,778,6.1,38,35,Docker,nginx
7,2,493.228,0,7.5,16.6,266,Circle,meteor-base
12,2,500.026,0,16,32,85,Circle,diaspora-docker
1,2,500.114,0,7.5,25.5,173,Travis,python
25,2,502.981,0,4,15.3333,365,Travis,python
3,2,513.509,0,1.1111,4.7778,151,Travis,java
2,2,526.864,0,0.6667,6.1667,479,Travis,ubuntu
6,2,536.937,0,6.6667,26.6667,489,Circle,python
1,2,539.112,0,5,10,108,Circle,node
2,2,544.72,0,1,2,657,Circle,meteor-base
1,2,568.072,0,1.8571,48.4286,808,Travis,java
1,2,574.018,48,11.5,16.5,708,Docker,fedora
81,2,582.039,0,1.8571,69.381,4710,Travis,debian
19,2,618.774,0,1.7143,14.7143,418,Circle,busybox
1,2,628.195,0,2,4,361,Travis,java
3,2,642.134,0,0.25,5,239,Circle,java
7,2,642.966,0,3.7692,9.2308,387,Travis,jdkydl
20,2,644.631,0,0,9,253,Circle,node
20,2,656.702,0,1,4,802,Travis,java
3,2,668.488,0,4.2632,9.7368,604,Circle,ubuntu
2,2,670.046,0,5,9,85,Circle,ruby
4,2,670.858,0,5.2,27.9,710,Circle,baseimage
4,2,705.232,0,1,17,625,Travis,alpine-java
7,2,717.775,0,0,8.4444,2145,Circle,node
16,2,721.256,0,1,32,4412,Circle,base
9,2,734.907,0,1,38.3333,2760,Travis,buildenv
1,2,743.81,0,11.5,33,167,Travis,python
11,2,756.17,0,1.2222,14.5556,1022,Circle,javajsbase
37,2,769.393,0,0,3,6476,Travis,pycbc-base-el7
71,2,786.55,0,12,23,2304,Travis,php
15,2,841.838,0,2,7,436,Circle,node
5,2,860.737,0,1,3,2140,Travis,buildstep
2,2,863.18,0,26,68.9333,1278,Travis,base
6,2,896.422,0,3,22,2981,Travis,base
1,2,897.147,0,0,10,258,Circle,ruby
9,2,901.904,0,2,7,372,Circle,node
2,2,903.901,0,0,10,3820,Circle,node
2,2,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
7,2,955.066,0,2,7,609,Circle,node
85,2,1059.15,0,2.7143,6.7143,17849,Circle,build_env
12,2,1101.1,0,5,7,1188,Travis,plone
1,2,1116.14,0,1,4,1625,Circle,cyclus
56,2,1271.74,0,6,29.5556,15319,Circle,ubuntu
2,2,1274.53,0,7,20,1684,Travis,ubuntu
3,2,1277.01,0,1.6667,11.6667,6221,Circle,cyclus-deps
5,3,0,0,4.3333,16,125,Circle,build
22,3,0,0,2,21.6667,923,Circle,ruby
1,3,0.0007,190,1.5,18.5,14,Docker,haproxy
1,3,0.0013,306,4,15,8,Docker,ubuntu
3,3,0.0017,340,2,8.25,14,Docker,debian
3,3,0.0018,162,2,7,9,Docker,systemd
9,3,0.002,187,10,22,1,Docker,apache
1,3,0.0021,161,14,27,19,Docker,debian
6,3,0.0022,56,0,16,55,Docker,alpine
1,3,0.003,179,1,20.6667,10,Docker,jenkins-slave
2,3,0.0032,228,6,16,61,Docker,debian
1,3,0.0033,27,7,27,18,Docker,ubuntu
2,3,0.0035,15,2,11,10,Docker,jnlp-slave
1,3,0.0041,122,4,3,5,Docker,ubuntu
3,3,0.0043,35,1,26,12,Docker,debian
5,3,0.0044,197,6,39,9,Docker,centos
1,3,0.0044,23,7,17.5,14,Docker,ubuntu
2,3,0.0045,418,3,9,5,Docker,golang
8,3,0.0049,0,2,19.5,57,Travis,alpine
3,3,0.0053,318,2,6,7,Docker,debian
2,3,0.0059,0,1,9,24,Circle,golang
21,3,0.0069,0,7.75,18.75,64,Circle,docker-perl-app-base
2,3,0.0086,0,11.25,19.25,852,Circle,docker-perl-app-base
3,3,0.0098,77,8,90.75,79,Docker,php
2,3,0.0101,77,6.2143,21.8571,35,Docker,base-debian
5,3,0.0104,133,4,7,3,Docker,ubuntu
14,3,0.0113,0,1,9,39,Circle,golang
1,3,0.0114,35,6,47,10,Docker,systemuser
6,3,0.0129,804,1,6,3,Docker,aspnet
1,3,0.0132,151,1,14,11,Docker,centos
1,3,0.0155,0,1,17,9,Travis,rpi-alpine
7,3,0.0177,0,8.9091,14.6818,32,Travis,fedora
9,3,0.0188,377,2,4,1,Docker,debian
2,3,0.022,0,2,35,36,Travis,alpine
1,3,0.023,22,6,17,50,Docker,ubuntu
2,3,0.0233,118,5,6,21,Docker,debian
5,3,0.0246,82,3.75,115.583,110,Docker,ubuntu
21,3,0.0263,109,5.5,6,4,Docker,node
5,3,0.0319,36,8,25,16,Docker,d-node
37,3,0.0404,207,8.6364,56,26,Docker,cuda
1,3,0.0512,17,0,4.6667,13,Docker,nginx
1,3,0.0552,0,4.8889,11.3333,100,Circle,ubuntu
2,3,0.0595,0,2,7,135,Circle,node
1,3,0.084,11,0,4,5,Docker,influxdb
2,3,0.1057,152,2,7,22,Docker,mesos
12,3,0.1232,0,3,5,194,Circle,nginx
1,3,0.1314,20,5.5,13.75,18,Docker,jnlp-slave
3,3,0.185,0,0,2.5,93,Circle,racket
1,3,0.1996,0,7.5517,23.7586,447,Circle,passenger-ruby21
1,3,0.2394,0,21,19.75,161,Circle,ubuntu-server
9,3,0.3114,0,2.5,16,91,Circle,debian
3,3,0.3279,21,1.8333,3,17,Docker,busybox
3,3,0.4417,0,1,5,57,Travis,java
1,3,0.555,0,1,17,28,Travis,rpi-alpine
9,3,0.7054,299,1.8,7.2,22,Docker,wordpress
4,3,0.7568,0,1,8,134,Circle,debian
3,3,0.7811,32,5,13,24,Docker,ubuntu-perl-phatch
18,3,0.8634,199,8,49,42,Docker,d-apache-openssl
8,3,0.9345,0,2,20.4286,1123,Circle,centos
1,3,1.8103,0,0,12.6667,54,Circle,node
3,3,1.9172,0,5,10.5,28,Travis,stack
3,3,1.9786,0,1,2,93,Travis,nginx
13,3,2.0159,0,9.9474,18.9474,63,Circle,stage3-amd64
4,3,2.1497,0,4,15,47,Circle,core-box
3,3,2.7616,106,5,11,165,Docker,nginx
2,3,2.8878,0,3,13,47,Travis,java
3,3,3.7266,22,5,22.2,14,Docker,php
1,3,3.9063,15,5,28,15,Docker,openjdk
14,3,6.7559,0,4,19.5,69,Travis,openjdk
51,3,6.9593,0,1,2,232,Circle,nginx
1,3,7.0563,0,3,18,130,Circle,alpine-base
46,3,7.0611,0,1,9,684,Circle,basejava
26,3,7.8564,0,1.5833,6.6667,164,Circle,jetty
13,3,7.9905,0,3,8,244,Circle,basebottle
1,3,8.0457,0,1.5,7.5,128,Travis,node
3,3,11.2416,47,10,82.5,43,Docker,ubuntu
72,3,12.0208,0,0.6667,5.7778,114,Circle,tomcat
26,3,12.8416,0,10,43,442,Circle,alpine
1,3,13.0814,0,0,12,49,Circle,alpine-ruby
11,3,13.8373,0,2,9,75,Circle,node
1,3,16.2142,347,4.5556,5.1111,32,Docker,nginx
2,3,17.0443,0,9,14.6667,70,Circle,ubuntu
19,3,17.2326,0,2,5,26,Circle,golang
3,3,19.9254,16,4,10,35,Docker,python
2,3,19.93,0,0,17,88,Circle,alpine
221,3,23.0597,0,2.6429,8.9286,4106,Circle,alpine
13,3,23.1062,143,1,35.6,239,Docker,ubuntu
7,3,23.1293,0,0.8,3.2,157,Circle,java
4,3,23.8922,0,1,5,323,Travis,openjdk
8,3,25.0743,0,3,5,323,Circle,nginx
1,3,27.9165,33,1.5,29.25,38,Docker,alpine-nginx
7,3,27.9552,0,1,9,111,Travis,python
1,3,28.0393,87,1,14,17,Docker,python
6,3,29.0707,0,0,3,112,Circle,jetty
7,3,29.3739,0,2,20.1875,1289,Circle,centos
2,3,30.8583,1000,6,14,4,Docker,debian
1,3,31.9798,36,4,33,42,Docker,centos
3,3,35.9786,171,10.5714,9.2857,21,Docker,ubuntu
23,3,36.036,0,0,4,1208,Circle,alpine
2,3,37.405,0,2,4,47,Circle,busybox
2,3,39.0562,0,2,14,701,Circle,slidehub-base
2,3,39.9654,254,2,15.4,41,Docker,centos
7,3,54.1992,0,0.8571,6.7143,272,Circle,parkmap
116,3,60.9955,0,0,6.2857,376,Travis,alpine-node
4,3,61.9695,19,9,21,21,Docker,hadoop-docker
6,3,62.9792,0,2.1429,20.7143,51,Circle,base
46,3,64.9491,0,8.7778,32.6111,1606,Circle,ubuntu
2,3,70.3905,0,2.4,7,179,Travis,docker-rails
13,3,71.8883,0,1,60,285,Circle,fedora
6,3,72.5254,0,1.5,7,55,Circle,erlang18
8,3,75.0452,0,1,10,302,Travis,java
11,3,76.1552,0,6.1818,70,71,Circle,base
8,3,82.9521,0,1,8,927,Travis,lewis-depends
2,3,87.0817,0,1,7,51,Travis,rust
10,3,92.7464,0,1.0588,24.7647,924,Travis,fpm-nginx
13,3,94.7589,0,3,22,293,Circle,core-box
38,3,97.927,0,9.5,15,111,Circle,baseimage
34,3,110.1,0,1.25,14.75,1273,Circle,alpine-build
2,3,114.074,20,5,47,8,Docker,alpine
21,3,120.021,0,2,8.3333,1847,Circle,ruby
2,3,122.77,0,0,7,99,Circle,node
11,3,124.152,186,1.7742,57.5806,503,Docker,debian
1,3,131.033,0,1,6.5,47,Travis,node
1,3,139.956,0,0,8,363,Circle,busybox
2,3,141.097,262,8,10,515,Docker,python
7,3,146.595,0,6,19.9333,273,Travis,websphere-liberty
3,3,155.068,0,9.875,13.875,420,Circle,ubuntu
14,3,160.07,0,1.5,9.5,562,Travis,node
10,3,164.087,0,0,9.5714,876,Circle,node
1,3,182.067,0,0,8,893,Circle,node
5,3,183.34,0,1.3333,11,846,Travis,node
12,3,187.126,0,2.125,6.875,601,Circle,python
7,3,194.171,0,1,2,376,Travis,alpine-java
12,3,198.945,0,3,9.5,621,Travis,ruby
23,3,200.918,0,2,44,180,Circle,alpine
2,3,200.961,0,4,16,762,Circle,alpine-glibc
1,3,204.008,0,8,16,448,Travis,nginx
6,3,208.122,0,5,17,99,Circle,core-box
2,3,217.199,0,3,19,400,Travis,websphere-liberty
1,3,218.159,0,2,18,211,Travis,haproxy
36,3,218.499,0,1,12.52,269,Circle,verse
9,3,222.737,0,2.6667,22.6667,4831,Circle,alpine-java
14,3,224.738,0,1.5,6,2974,Circle,golang
4,3,224.962,0,2,22,321,Travis,websphere-liberty
5,3,225.289,0,4.6667,17,99,Circle,core-box
2,3,226.178,0,6,19.6,342,Travis,websphere-liberty
2,3,228.727,0,5,16,51,Circle,core-box
1,3,245.74,0,0,4.5,321,Travis,scratch
4,3,281.928,0,5,17,126,Circle,core-box
4,3,286.854,0,2,5,355,Travis,busybox
1,3,296.855,0,6.8333,29.8333,141,Travis,baseimage
1,3,301.246,0,2,8.6667,1809,Travis,node
12,3,301.267,0,1,3,174,Circle,nginx
3,3,331.064,0,5.0167,61.1667,58,Travis,debian-debootstrap
3,3,342.094,26,4,8.5,63,Docker,nginx
18,3,342.655,0,1,2,275,Circle,meteor-base
1,3,345.935,0,1,10.6667,421,Circle,alpine
33,3,364.981,0,1,52,723,Travis,ubuntu
34,3,387.764,0,0,3,152,Travis,node
1,3,427.735,0,0,7,101,Travis,java
10,3,432.097,0,1,10,393,Travis,python
1,3,433.042,0,6.5,14,823,Travis,golang
1,3,468.727,778,6.1,38,35,Docker,nginx
2,3,491.425,0,0,10,164,Circle,node
18,3,493.228,0,10,19,266,Circle,meteor-base
5,3,500.026,0,16,32,85,Circle,diaspora-docker
5,3,502.981,0,4,15.3333,365,Travis,python
4,3,503.66,0,2,8,159,Travis,openjdk
10,3,513.509,0,1.1111,4.7778,151,Travis,java
10,3,526.864,0,0.7273,6.0909,479,Travis,ubuntu
1,3,534.806,0,7,18,140,Circle,ubuntu
9,3,568.072,0,1.8571,48.4286,808,Travis,java
1,3,573.165,0,1.5,33.75,1461,Travis,debian
118,3,582.039,0,1,51.4706,4710,Travis,debian
23,3,618.774,0,1.7143,14.7143,418,Circle,busybox
1,3,628.195,0,2,4,361,Travis,java
4,3,642.134,0,0.25,5,239,Circle,java
15,3,668.488,0,4.2632,9.7368,604,Circle,ubuntu
4,3,670.858,0,5.2,27.9,710,Circle,baseimage
2,3,690.974,0,1,5.8,302,Travis,viws
31,3,701.089,0,8.1667,9.5,832,Travis,golang
1,3,708.75,0,2,12,99,Travis,alpine
14,3,717.775,0,0,9,2145,Circle,node
24,3,721.256,0,1,31,4412,Circle,base
2,3,734.948,0,6,10,144,Circle,openjdk
8,3,755.805,0,0,12.3333,185,Circle,python
1,3,769.139,0,12,29.5,451,Travis,base
56,3,769.393,0,0,3,6476,Travis,pycbc-base-el7
96,3,786.55,0,12,23,2304,Travis,php
4,3,821.945,0,2.6923,7.4615,262,Travis,java
13,3,841.838,0,2,7,436,Circle,node
6,3,860.737,0,1,3,2140,Travis,buildstep
10,3,897.147,0,0,10,258,Circle,ruby
1,3,900.704,0,0.2381,14.8095,1848,Circle,php
26,3,901.904,0,2,7,372,Circle,node
16,3,903.901,0,0,10,3820,Circle,node
9,3,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
11,3,955.066,0,2,7,609,Circle,node
126,3,1059.15,0,2.7143,6.7143,17849,Circle,build_env
5,3,1101.1,0,5,7,1188,Travis,plone
1,3,1116.14,0,1,4,1625,Circle,cyclus
97,3,1271.74,0,7,48,15319,Circle,ubuntu
2,3,1277.01,0,1.6667,11.6667,6221,Circle,cyclus-deps
1,3,1644.88,0,5,11,509,Travis,debian
20,4,0,0,3.8571,14.4286,125,Circle,build
2,4,0,0,2,21.6667,923,Circle,ruby
5,4,0.0012,18,3,8.8571,18,Docker,latex
1,4,0.0013,306,4,15,8,Docker,ubuntu
4,4,0.0017,0,0,5,46,Circle,nginx
3,4,0.0018,162,2,7,9,Docker,systemd
2,4,0.002,0,25,81,51,Travis,ubuntu
28,4,0.0021,161,14,27,19,Docker,debian
3,4,0.0029,754,4,8,6,Docker,gitlab-ce
1,4,0.0031,705,7,15.25,4,Docker,php
1,4,0.0035,243,1,11.5,27,Docker,alpine
9,4,0.0044,197,6,39,9,Docker,centos
1,4,0.0045,418,3,9,5,Docker,golang
14,4,0.0049,0,1,72,57,Travis,alpine
5,4,0.0058,356,3,16,31,Docker,debian
3,4,0.0068,346,0,3,17,Docker,node
1,4,0.0069,0,10,21,64,Circle,docker-perl-app-base
5,4,0.0072,128,2,6,3,Docker,debian
12,4,0.0085,139,8,64,30,Docker,centos
1,4,0.0098,176,6,4,4,Docker,jenkins
6,4,0.0104,133,4,7,3,Docker,ubuntu
21,4,0.0129,804,1,6,3,Docker,aspnet
1,4,0.0132,151,1,14,11,Docker,centos
22,4,0.0188,377,2,4,1,Docker,debian
1,4,0.02,28,1,38,22,Docker,java
1,4,0.0223,59,1,8,5,Docker,catalog-docker-base
3,4,0.0233,118,5,6,21,Docker,debian
1,4,0.0249,64,1,7,13,Docker,catalog-docker-base
21,4,0.0263,109,3,3,4,Docker,node
4,4,0.0319,36,8,25,16,Docker,d-node
2,4,0.0356,14,2,14.5,10,Docker,crcbase
2,4,0.04,254,1,54.5,36,Docker,php
17,4,0.0404,207,8.6364,56,26,Docker,cuda
3,4,0.0595,0,1,7,135,Circle,node
1,4,0.0638,182,3.4,19,49,Docker,baseimage-oraclejdk
1,4,0.0773,296,40,142.5,226,Docker,debian-debootstrap
25,4,0.0965,0,1.6667,8.6667,85,Circle,centos
2,4,0.1013,0,6.8718,28.5641,49,Circle,ubuntu
1,4,0.1057,152,2,7,22,Docker,mesos
12,4,0.1232,0,3,5,194,Circle,nginx
2,4,0.1349,28,1,52.2,25,Docker,base
1,4,0.1352,245,7.8,25.2,44,Docker,golang
1,4,0.1397,0,1,33.5,22,Travis,alpine
14,4,0.1493,152,4,9.6667,4,Docker,java
6,4,0.1559,0,2,4,55,Circle,alpine
2,4,0.1731,0,1,26,95,Circle,debian
4,4,0.1732,229,6,45,44,Docker,baseimage
2,4,0.1751,330,9.5,11.5,4,Docker,nginx
2,4,0.185,0,2.6667,7,93,Circle,racket
1,4,0.2394,0,19,20.5,161,Circle,ubuntu-server
1,4,0.4417,0,1,5,57,Travis,java
1,4,0.4726,0,6.25,35.75,42,Travis,chrome-headless-browser
7,4,0.7054,299,1.8,7.2,22,Docker,wordpress
3,4,0.709,0,0,8.8571,48,Circle,node
12,4,0.9345,0,2,20,1123,Circle,centos
3,4,1.275,31,7,36.6,27,Docker,ubuntu
9,4,2.0159,0,9.9474,18.9474,63,Circle,stage3-amd64
2,4,2.4782,0,1.3333,6.6667,40,Circle,result-processing
1,4,3.7266,22,5,22.2,14,Docker,php
1,4,4.1889,0,5.5,7,35,Circle,ubuntu
5,4,4.5204,0,2,12.75,118,Circle,alpine-node
1,4,5.0292,79,4,14,42,Docker,centos
13,4,6.9593,0,1,2,232,Circle,nginx
2,4,7.0563,0,3,18,130,Circle,alpine-base
47,4,7.0611,0,1,9.75,684,Circle,basejava
7,4,7.7354,0,1,32,48,Travis,alpine
4,4,7.8564,0,1.5833,6.6667,164,Circle,jetty
8,4,7.9905,0,3,8,244,Circle,basebottle
1,4,8.0164,0,3.5714,37.2857,197,Travis,ubuntu
58,4,9.0212,0,9.8,67.2,248,Circle,centos
2,4,10.8772,0,0,3,62,Circle,java
2,4,12.0208,0,0.6667,5.7778,114,Circle,tomcat
6,4,13.0814,0,0,12,49,Circle,alpine-ruby
6,4,13.8373,0,2,10.6667,75,Circle,node
6,4,16.1885,0,5,37,210,Circle,golang
1,4,19.93,0,0,17,88,Circle,alpine
2,4,22.5866,936,1,14,31,Docker,node
237,4,23.0597,0,2.8,10.2,4106,Circle,alpine
2,4,23.1293,0,2,5,157,Circle,java
2,4,25.0027,0,1,7,81,Circle,nodejs
5,4,27.8815,0,1,108,169,Travis,ubuntu
3,4,28.9605,15,5,56.5,45,Docker,ubuntu
9,4,29.0707,0,0,3,112,Circle,jetty
1,4,29.3739,0,2,20.5,1289,Circle,centos
6,4,30.266,111,2.4,4.4,174,Docker,base
1,4,30.8583,1000,6,14,4,Docker,debian
1,4,33.9518,0,2,5,98,Circle,node
1,4,35.9786,171,10.5714,9.2857,21,Docker,ubuntu
32,4,36.036,0,0,4,1208,Circle,alpine
2,4,37.405,0,2,4,47,Circle,busybox
4,4,42.0784,0,1,9,71,Circle,golang
1,4,50.2294,0,0,3,86,Travis,python
1,4,54.1992,0,0.8571,6.7143,272,Circle,parkmap
77,4,60.9955,0,0,6,376,Travis,alpine-node
2,4,64.2844,0,2,10,164,Travis,alpine-node
17,4,64.9491,0,8.7778,32.6111,1606,Circle,ubuntu
11,4,70.3905,0,2.4,7,179,Travis,docker-rails
2,4,71.8883,0,1,59,285,Circle,fedora
6,4,75.0452,0,1,10,302,Travis,java
2,4,76.2529,0,1,4,48,Circle,alpine
14,4,82.9521,0,1,8,927,Travis,lewis-depends
2,4,87.0817,0,1,7,51,Travis,rust
21,4,92.7464,0,1,25.3333,924,Travis,fpm-nginx
3,4,94.7589,0,4.5,17,293,Circle,core-box
1,4,97.927,0,9.5,15,111,Circle,baseimage
1,4,98.1166,0,8.6,12,267,Circle,ruby
44,4,110.1,0,1.25,14.75,1273,Circle,alpine-build
16,4,120.021,0,2,8.3333,1847,Circle,ruby
11,4,124.152,186,1,79,503,Docker,debian
5,4,141.097,262,8,10,515,Docker,python
1,4,146.595,0,6,19.9333,273,Travis,websphere-liberty
4,4,155.068,0,9.875,13.875,420,Circle,ubuntu
5,4,160.07,0,1.5,9.5,562,Travis,node
46,4,164.087,0,0,9.5714,876,Circle,node
1,4,170.01,0,3.15,21.8,277,Circle,ubuntu
3,4,182.067,0,0,8,893,Circle,node
9,4,191.971,0,1.8889,8.5556,200,Circle,docker-tomcat-ffmpeg
20,4,198.945,0,3,9.5,621,Travis,ruby
6,4,200.961,0,3,12,762,Circle,alpine-glibc
3,4,202.327,0,0,1.5,242,Travis,python
3,4,204.008,0,8,16,448,Travis,nginx
8,4,208.122,0,4,17,99,Circle,core-box
3,4,218.159,0,2,18,211,Travis,haproxy
2,4,219.294,0,5,16,162,Circle,core-box
1,4,220.16,0,4.3333,17,91,Circle,core-box
68,4,224.738,0,2,7,2974,Circle,golang
7,4,225.289,0,4.6667,17,99,Circle,core-box
5,4,226.105,0,1,9.1818,372,Travis,node
1,4,245.74,0,0,4.5,321,Travis,scratch
8,4,252.925,119,3.9355,18.0968,76,Docker,alpine
2,4,253.975,0,0,7,108,Circle,java
5,4,267.745,0,4,14,181,Circle,core-box
4,4,286.854,0,2,5,355,Travis,busybox
3,4,296.855,0,8,42.5,141,Travis,baseimage
16,4,301.246,0,2,7.2,1809,Travis,node
2,4,315.801,0,1,23,78,Travis,alpine
25,4,331.064,0,4.3333,64.6667,58,Travis,debian-debootstrap
8,4,345.606,0,6.7778,18.5556,102,Travis,ubuntu
1,4,345.935,0,1,10.6667,421,Circle,alpine
11,4,364.981,0,3,27.6667,723,Travis,ubuntu
3,4,377.098,0,3.4444,9.4444,178,Circle,alpine-node
45,4,387.764,0,0,3,152,Travis,node
6,4,430.951,0,1,4.6667,203,Circle,scratch
5,4,432.097,0,1,10,393,Travis,python
1,4,493.228,0,10,19,266,Circle,meteor-base
8,4,500.026,0,16,32,85,Circle,diaspora-docker
6,4,535.883,0,4.75,6.25,534,Circle,cymetric-deps
2,4,550.778,0,0,8,936,Circle,node
3,4,574.018,48,11.5,16.5,708,Docker,fedora
113,4,582.039,0,1,51.4706,4710,Travis,debian
8,4,587.536,60,9.5294,27.1765,21,Docker,debian
12,4,618.774,0,1.7143,14.7143,418,Circle,busybox
5,4,628.195,0,0.5,4,361,Travis,java
1,4,642.966,0,4,9,387,Travis,jdkydl
9,4,644.631,0,0,9,253,Circle,node
3,4,656.702,0,1,4,802,Travis,java
7,4,668.488,0,4.2632,9.7368,604,Circle,ubuntu
1,4,672.059,25,0,18,196,Docker,node
2,4,701.089,0,8.1667,9.5,832,Travis,golang
4,4,705.232,0,1,19,625,Travis,alpine-java
1,4,708.75,0,2,12,99,Travis,alpine
47,4,717.775,0,0,8.5714,2145,Circle,node
17,4,721.256,0,1,32,4412,Circle,base
8,4,734.907,0,1,38.3333,2760,Travis,buildenv
1,4,769.139,0,12,29.5,451,Travis,base
2,4,769.683,0,8,34,443,Travis,base
95,4,786.55,0,5.8,20.6,2304,Travis,php
3,4,821.945,0,2.6923,7.4615,262,Travis,java
2,4,841.838,0,2,7,436,Circle,node
2,4,855.777,0,7.7778,11.2222,330,Circle,java
2,4,860.737,0,1,3,2140,Travis,buildstep
2,4,896.422,0,3,22,2981,Travis,base
8,4,897.147,0,0,10,258,Circle,ruby
30,4,901.904,0,2,7,372,Circle,node
22,4,903.901,0,1.8182,27.5,3820,Circle,node
9,4,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
14,4,955.066,0,2,7,609,Circle,node
1,4,1036.21,0,1,4,121,Circle,busybox
180,4,1059.15,0,2.7143,6.7143,17849,Circle,build_env
1,4,1116.14,0,1,4,1625,Circle,cyclus
153,4,1153.66,0,2,7,4509,Circle,node
133,4,1271.74,0,7,51,15319,Circle,ubuntu
2,4,1274.53,0,7,20,1684,Travis,ubuntu
2,4,1392.17,0,2,10.5,876,Travis,scratch
3,5,0,0,4,13,125,Circle,build
3,5,0,0,2,21.6667,923,Circle,ruby
10,5,0,259,4,24,11,Docker,alpine
4,5,0.001,173,5.6667,15.5,27,Docker,debian
1,5,0.0014,848,4,21.8571,30,Docker,php
35,5,0.0016,503,0,2,5,Docker,php
1,5,0.0019,30,5.3333,24.3333,73,Docker,arch-mini
2,5,0.0021,161,14,27,19,Docker,debian
2,5,0.0022,56,0.8,12.8,55,Docker,alpine
3,5,0.0023,46,8,71,17,Docker,base
1,5,0.0024,986,1,4,10,Docker,opensuse
1,5,0.0029,754,4,8,6,Docker,gitlab-ce
8,5,0.0032,228,6,16,61,Docker,debian
2,5,0.0041,295,1,8,58,Docker,kgs
6,5,0.0044,197,6,39,9,Docker,centos
4,5,0.0049,0,0,26,57,Travis,alpine
1,5,0.0057,0,2.3333,19.3333,41,Circle,debian
4,5,0.0064,126,5,6,1,Docker,postgres
9,5,0.0069,0,10,21,64,Circle,docker-perl-app-base
7,5,0.0083,243,1,2,2,Docker,node
2,5,0.0104,133,4,7,3,Docker,ubuntu
1,5,0.0112,16,4,9.5,18,Docker,jenkins
1,5,0.0114,35,6,47,10,Docker,systemuser
4,5,0.0129,804,1,6,3,Docker,aspnet
23,5,0.0188,377,2,4,1,Docker,debian
3,5,0.0294,94,2,41.6667,4,Docker,ubuntu
2,5,0.0356,16,1,10,8,Docker,alpine
11,5,0.0358,210,1,8,2,Docker,cflinuxfs2
3,5,0.04,254,1,59,36,Docker,php
2,5,0.0524,0,18,49.6667,133,Travis,ubuntu
11,5,0.0617,213,1,8,3,Docker,cflinuxfs2
1,5,0.0758,25,5,13,5,Docker,ubuntu-debootstrap
1,5,0.0773,296,39.6364,137.454,226,Docker,debian-debootstrap
2,5,0.0855,173,1,19.5,48,Docker,alpine-glibc
4,5,0.1307,0,1,6,34,Circle,result-processing
62,5,0.1352,245,8,27,44,Docker,golang
38,5,0.1493,152,4,9.6667,4,Docker,java
2,5,0.1732,229,6,45,44,Docker,baseimage
4,5,0.1996,0,7.5517,23.7586,447,Circle,passenger-ruby21
17,5,0.2394,0,22,29.6667,161,Circle,ubuntu-server
1,5,0.3458,41,4,10,19,Docker,spark-base
2,5,0.4726,0,6.8,28.4,42,Travis,chrome-headless-browser
1,5,0.7054,299,1.8,7.2,22,Docker,wordpress
1,5,0.7614,0,0,4.8333,43,Circle,java
11,5,0.9345,0,2,20,1123,Circle,centos
1,5,1.9172,0,5,10.5,28,Travis,stack
