nSuccessBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
7,0,843.985,0,1,9,1233,Travis,openjdk
8,0,0.001,173,5.6667,15.5,27,Docker,debian
8,0,0.0019,11,4,8.8333,9,Docker,node
8,0,0.0019,30,2.3333,8,73,Docker,arch-mini
8,0,0.0039,17,4.25,25.375,17,Docker,ubuntu
8,0,0.004,35,4,14,2,Docker,docker-bitrise-base
8,0,0.0044,197,6,39,9,Docker,centos
8,0,0.0058,19,8.75,22.25,18,Docker,ubuntu
8,0,0.0072,128,2,6,3,Docker,debian
8,0,0.0098,176,6,4,4,Docker,jenkins
8,0,0.0121,16,6,11,5,Docker,baseimage
8,0,0.0172,57,1.1765,8.1765,24,Docker,centos
8,0,0.0172,11,2.6667,8.3333,18,Docker,baseimage
8,0,0.02,28,0.7857,11.7143,22,Docker,java
8,0,0.0558,18,3.5,5,10,Docker,taiga-back
8,0,0.084,11,0.2,3.8,5,Docker,influxdb
8,0,0.0933,36,2,16.4,6,Docker,alpine
8,0,0.1549,21,1,56,9,Docker,xenial
8,0,1.2384,29,1,9.5,15,Docker,java
8,0,1.3458,21,5.2,52.2,17,Docker,jenkins-master
8,0,2.4782,0,2,5.5,40,Circle,result-processing
8,0,16.0888,13,12,27.4286,18,Docker,debian
8,0,19.9254,16,3,10,35,Docker,python
8,0,22.912,22,2.0769,10.0769,30,Docker,python
8,0,35.9786,171,10.5714,9.2857,21,Docker,ubuntu
8,0,76.1552,0,6.875,38,71,Circle,base
8,0,176.742,35,4.3333,14.7143,28,Docker,baseimage
8,0,191.968,0,4,10,209,Travis,debian
8,0,219.294,0,2.6667,17.6667,162,Circle,core-box
8,0,224.962,0,3.6,7.5333,321,Travis,websphere-liberty
8,0,252.925,119,3.9355,18.0968,76,Docker,alpine
8,0,432.097,0,1.25,9.75,393,Travis,python
8,0,459.855,0,6.5556,30.1111,1083,Travis,litiv-base
8,0,769.683,0,11.5556,40.1111,443,Travis,base
8,0,855.777,0,7.7778,11.2222,330,Circle,java
8,0,933.12,0,4.6216,8.4865,215,Travis,ubuntu
9,0,0.0007,26,8,18.2,32,Docker,ubuntu
9,0,0.001,11,2,12.5,4,Docker,alpine
9,0,0.0012,18,3.4444,5.1111,18,Docker,latex
9,0,0.0025,14,8.5,35,47,Docker,base-image
9,0,0.0043,35,1,19,12,Docker,debian
9,0,0.0069,16,3,6.5,11,Docker,alpine-openjdk7
9,0,0.0098,0,3,10,5,Travis,alpine
9,0,0.011,13,1.3333,8.6667,15,Docker,centos
9,0,0.0142,17,3.1429,9.5714,10,Docker,debian
9,0,0.0163,17,5,31.5,11,Docker,alpine
